Date,Store,Category,Amount,ExcludeWE,Description
2014-01-10,,Savings,37402.26,,Savings
2014-01-11,Aldi,Daily Expenses,-4.76,NO,"Milk, Water, Tuna"
2014-01-12,Aldi,Daily Expenses,-16.0,NO,"Wine, juice, cream cheese, corn, eggs and wraps"
2014-01-12,Victoria Market,Daily Expenses,-13.0,NO,"Vegetables, meet, lentins and fruits"
2014-01-13,Woolworths,Daily Expenses,-12.4,NO,"2 Juices Charlie's, cheese 1kg"
2014-01-13,Aldi,Daily Expenses,-3.45,NO,2 Bottles of water and chips
2014-01-13,eBay,Gift,-98.9,YES,Bathrobe gift for Russia
2014-01-14,Woolworths,Daily Expenses,-3.76,NO,Chicken breast
2014-01-14,Aldi,Daily Expenses,-5.8,NO,Yogurt and chips
2014-01-14,Unilodge,Pleasure,-2.0,NO,Coke from Unilodge's machine
2014-01-14,eBay,Gift,-96.99,YES,Rubik - Anton and Katya's gift
2014-01-15,Woolworths,Daily Expenses,-4.5,NO,"Colgate, Corn"
2014-01-15,Aldi,Daily Expenses,-2.07,NO,Water 3 bottles
2014-01-15,Unilodge,Pleasure,-2.0,NO,Coke at Unilodge's machine
2014-01-16,Aldi,Daily Expenses,-16.56,NO,"Coke, nastya and 2 water bottles"
2014-01-16,Coles,Daily Expenses,-5.83,NO,Packets and soap
2014-01-17,Dan Murphy's,Alcohol,-54.98,NO,Tequila with Martini
2014-01-17,Unilodge,Rent,-1538.0,YES,Rent January
2014-01-18,Aldi,Daily Expenses,-6.13,NO,Water and Milk
2014-01-18,eBay,Home,-3.9,NO,Sata to USB cable
2014-01-19,Aldi,Gift,-2.0,NO,Rubik for juan
2014-01-19,MyKi,Transport,-3.5,NO,Church transport
2014-01-19,Church,Gift,-3.0,NO,Candles
2014-01-19,Aldi,Daily Expenses,-7.79,NO,"Sausages, chips, wraps and bread"
2014-01-19,Victoria Market,Gift,-35.0,YES,"Gifts for Russia shirt, cups, kangaroo, koala, towel and mitten"
2014-01-21,Coles,Daily Expenses,-1.94,NO,White packet (healthy)))
2014-01-21,Woolworths,Daily Expenses,-12.92,NO,"Doritos, chicken breast and cheese"
2014-01-21,Aldi,Daily Expenses,-7.9,NO,"Chocolate bar, Muesli and corn"
2014-01-22,eBay,Gift,-2.69,NO,Broken rubik
2014-01-22,Aldi,Daily Expenses,-7.86,NO,"packet, Capsicum, onion and eggs"
2014-01-22,Coles,Daily Expenses,-4.5,NO,Yogurt
2014-01-22,Woolworths,Daily Expenses,-7.23,NO,chicken breast and sausages
2014-01-23,BACB,Utilities,-49.95,YES,Internet January-February
2014-01-23,Intersection Café,Pleasure,-7.5,NO,Thursday pizza!
2014-01-24,Click Energy,Utilities,-78.64,YES,Electricity December-January
2014-01-24,Woolworths,Daily Expenses,-6.11,NO,"Chicken, doritos and mouthwash"
2014-01-24,HIP Melbourne Central,Daily Expenses,-13.9,NO,Condoms
2014-01-25,Aldi,Daily Expenses,-8.9,NO,"Milk, cream cheese, cereal and corn"
2014-01-25,Coles,Daily Expenses,-6.0,NO,Juice and mince meet
2014-01-26,Victoria Market,Daily Expenses,-10.8,NO,"fish (1 Kg), banana (3), grapes (1 Kg), tomatos (4) and avocado (1)"
2014-01-26,Victoria Market,Home,-3.0,NO,Audio cable stereo
2014-01-26,Aldi,Daily Expenses,-5.4,NO,"Water, rice chips packet and coreander"
2014-01-26,Target,Clothing,-20.0,YES,"Target, shirt for work Nastya"
2014-01-27,Woolworths,Daily Expenses,-22.09,NO,"Chips Packet Doritos, tea and bleach"
2014-01-27,Unilodge,Home,-12.0,NO,Laundry B/W
2014-01-28,Woolworths,Daily Expenses,-2.83,NO,Chicken
2014-01-29,Aldi,Daily Expenses,-7.28,NO,"Wraps, corn, eggs and two bottles of water"
2014-01-29,Woolworths,Daily Expenses,-11.7,NO,1 Kg of cheese and 2 packets chips doritos
2014-01-30,Aldi,Alcohol,-9.99,NO,6 pack Beers
2014-01-30,,Salary,2658.46,,Salary Ana
2014-01-30,Woolworths,Home,-3.09,NO,Toilet Flush freshener
2014-01-30,Woolworths,Daily Expenses,-2.5,NO,half Chicken Breast
2014-01-30,Aldi,Daily Expenses,-9.69,NO,"Can of corn, rice, mushrooms, 1 capsicum and 1 packet chips grain "
2014-01-31,Woolworths,Daily Expenses,-3.81,NO,Dental floss
2014-01-31,Universal Restaurant,Pleasure,-33.8,NO,Dinner because of first salary from Avanade
2014-02-01,7 Eleven,Pleasure,-2.5,NO,Donut
2014-02-01,,Gift Cards,20.0,,Wish Gift Card - MySurvey.com
2014-02-01,,Interest,73.66,,Interest January
2014-02-01,,Gift Cards,20.0,,Wish Gift Card - MySurvey.com
2014-02-01,,Gift Cards,20.0,,Wish Gift Card - Valued Opinions
